tier,isco_focus,id_oferta,titulo,isco_antes,esco_antes,isco_despues,esco_despues,esco_code_granular,regla_aplicada,url_admin,resultado,isco_correcto,comentario
2,2269,6419821355,Ortodoncista,2269,terapeuta musical,2261,odontólogo/odontóloga,,,https://mol-nextjs.vercel.app/admin/validacion?id=6419821355,,,
2,2269,6444989588,agente de ventas de mostrador,2269,técnico en laboratorio clínico y biomédico/técnica en laboratorio clínico y biomédico,5223,vendedor especializado en tabaco y artículos de tabaquería/vendedora especializada en tabaco y artículos de tabaquería,,,https://mol-nextjs.vercel.app/admin/validacion?id=6444989588,,,
2,2269,7857294634,Coordinado/ar comercial y de marketing  San Luis,2269,investigador especializado en biomedicina/investigadora especializada en biomedicina,1221,director de ventas/directora de ventas,,,https://mol-nextjs.vercel.app/admin/validacion?id=7857294634,,,
2,2269,6182261811,Trabajo part time con impacto social en Paraná,2269,quiropráctico/quiropráctica,2635,trabajador social de apoyo al personal de las fuerzas armadas y sus familias/trabajadora social de apoyo al personal de las fuerzas armadas y sus familias,,,https://mol-nextjs.vercel.app/admin/validacion?id=6182261811,,,
2,2269,8363855431,Montador de Polímeros,2269,técnico en imagen para diagnóstico/técnica en imagen para diagnóstico,8219,montador de productos de plástico/montadora de productos de plástico,,,https://mol-nextjs.vercel.app/admin/validacion?id=8363855431,,,
3,9329,8613700960,"Operarios/as de producción, eventual",8160,operario de prensado de fruta/operaria de prensado de fruta,9329,trabajador de fábrica/trabajadora de fábrica,9329.1,R240_operario_produccion,https://mol-nextjs.vercel.app/admin/validacion?id=8613700960,,,
3,9329,1118201687,SL30 | OPERARIO/A DE PRODUCCIÓN | MULTINACIONAL | GBA SUR | BURZACO,8160,operario de prensado de fruta/operaria de prensado de fruta,9329,trabajador de fábrica/trabajadora de fábrica,9329.1,R240_operario_produccion,https://mol-nextjs.vercel.app/admin/validacion?id=1118201687,,,
3,9329,8699915011,Operario de producción de  Pintura/Tintas,8160,operario de prensado de fruta/operaria de prensado de fruta,9329,trabajador de fábrica/trabajadora de fábrica,9329.1,R240_operario_produccion,https://mol-nextjs.vercel.app/admin/validacion?id=8699915011,,,
3,9329,6438990234,Operario Pesada Materia Prima,8160,operario de prensado de fruta/operaria de prensado de fruta,9329,trabajador de fábrica/trabajadora de fábrica,9329.1,R240_operario_produccion,https://mol-nextjs.vercel.app/admin/validacion?id=6438990234,,,
3,9329,7818068122,Operario de producción (Eventual) José León Suarez req206673,8160,operario de prensado de fruta/operaria de prensado de fruta,9329,trabajador de fábrica/trabajadora de fábrica,9329.1,R240_operario_produccion,https://mol-nextjs.vercel.app/admin/validacion?id=7818068122,,,
3,9333,1118226646,Operario tareas generales- CONTRATO A PLAZO FIJO DE 6 A 8 MESES,8160,operario de prensado de fruta/operaria de prensado de fruta,9333,mozo de almacén/moza de almacén,9333.8,R353_operario_carga_descarga,https://mol-nextjs.vercel.app/admin/validacion?id=1118226646,,,
3,9333,7148997902,Operarios de producción p/ rubro Maderero,8160,operario de prensado de fruta/operaria de prensado de fruta,9333,mozo de almacén/moza de almacén,9333.8,R353_operario_carga_descarga,https://mol-nextjs.vercel.app/admin/validacion?id=7148997902,,,
3,9333,8511750245,Personal Carga y Descarga,9216,operario de acuicultura con base en el agua/operaria de acuicultura con base en el agua,9333,mozo de almacén/moza de almacén,,,https://mol-nextjs.vercel.app/admin/validacion?id=8511750245,,,
3,9333,6163928953,Auxiliar logístico,2145,maestro cervecero/maestra cervecera,9333,operario de logística de almacén/operaria de logística de almacén,,,https://mol-nextjs.vercel.app/admin/validacion?id=6163928953,,,
3,9333,6456724989,Operarios de produccion,8160,operario de prensado de fruta/operaria de prensado de fruta,9333,mozo de almacén/moza de almacén,9333.8,R353_operario_carga_descarga,https://mol-nextjs.vercel.app/admin/validacion?id=6456724989,,,
3,2411,6308204420,REF 1033: Analista Senior de Cuentas a Pagar,4311,empleado de contabilidad/empleada de contabilidad,2411,analista contable,2411.1.1,R228_analista_contabilidad,https://mol-nextjs.vercel.app/admin/validacion?id=6308204420,,,
3,2411,1118141818,Analista de Cobranzas Semi Sr.,3313,técnico medio en contabilidad/técnica media en contabilidad,2411,analista contable,2411.1.1,R245_analista_cobranzas,https://mol-nextjs.vercel.app/admin/validacion?id=1118141818,,,
3,2411,1118142229,Analista de Cobranzas (inglés avanzado excluyente),5230,empleado de servicio de venta de entradas/empleada de servicio de venta de entradas,2411,analista contable,2411.1.1,R245_analista_cobranzas,https://mol-nextjs.vercel.app/admin/validacion?id=1118142229,,,
3,2411,5920202703,Analista de Cuentas a Pagar,4311,empleado de contabilidad/empleada de contabilidad,2411,analista contable,2411.1.1,R228_analista_contabilidad,https://mol-nextjs.vercel.app/admin/validacion?id=5920202703,,,
3,2411,6123538682,740SI Analista de Cuentas a Pagar,4311,empleado de contabilidad/empleada de contabilidad,2411,analista contable,2411.1.1,R228_analista_contabilidad,https://mol-nextjs.vercel.app/admin/validacion?id=6123538682,,,
