termino,frecuencia,porcentaje
profesional,2536,48.26
avanzado,1466,27.9
inglés,815,15.51
intermedio,453,8.62
básico,450,8.56
nivel intermedio,98,1.86
ingles,97,1.85
fluido,68,1.29
nivel avanzado,58,1.1
portugués,49,0.93
italiano,33,0.63
conversacional,32,0.61
basico,31,0.59
nativo,21,0.4
chino,14,0.27
francés,12,0.23
portugues,12,0.23
nivel básico,11,0.21
frances,8,0.15
alemán,5,0.1
