id,id_oferta,titulo_oferta,ocupacion_esco,isco_code,skill_mencionado,skill_tipo_fuente,esco_skill_uri,esco_skill_label,esco_skill_type,esco_skill_reusability,is_essential,is_optional,match_method,matching_version
18,2130257,EMPLEADA/O VENTA MOSTRADOR PARA CASA DE ELECTRICIDAD,empleado de mostrador de oficina postal/empleada de mostrador de oficina postal,C4211,compromiso,nlp_extraction,http://data.europa.eu/esco/skill/8330c86e-63cf-4be6-849f-4f77628cc5c5,satisfacer a los clientes,skill,,1,0,exact,v8.3_esco_familias_funcionales
19,2130257,EMPLEADA/O VENTA MOSTRADOR PARA CASA DE ELECTRICIDAD,empleado de mostrador de oficina postal/empleada de mostrador de oficina postal,C4211,organización,nlp_extraction,http://data.europa.eu/esco/skill/f7e7ccb6-fadc-4c35-935d-e1040be40dfe,gestionar operaciones financieras,skill,,1,0,exact,v8.3_esco_familias_funcionales
20,2130257,EMPLEADA/O VENTA MOSTRADOR PARA CASA DE ELECTRICIDAD,empleado de mostrador de oficina postal/empleada de mostrador de oficina postal,C4211,planificación,nlp_extraction,http://data.europa.eu/esco/skill/bdcac0c8-b77a-4640-9eaf-c0cf3efd1e23,tramitar pagos,skill,,1,0,exact,v8.3_esco_familias_funcionales
21,2130257,EMPLEADA/O VENTA MOSTRADOR PARA CASA DE ELECTRICIDAD,empleado de mostrador de oficina postal/empleada de mostrador de oficina postal,C4211,resolución de problemas,nlp_extraction,http://data.europa.eu/esco/skill/8330c86e-63cf-4be6-849f-4f77628cc5c5,satisfacer a los clientes,skill,,1,0,exact,v8.3_esco_familias_funcionales
17,2130257,EMPLEADA/O VENTA MOSTRADOR PARA CASA DE ELECTRICIDAD,empleado de mostrador de oficina postal/empleada de mostrador de oficina postal,C4211,responsabilidad,nlp_extraction,http://data.europa.eu/esco/skill/df1265b9-81fd-4a40-a746-f0442ffbf7ef,entregar correspondencia,skill,,1,0,exact,v8.3_esco_familias_funcionales
24,2130257,EMPLEADA/O VENTA MOSTRADOR PARA CASA DE ELECTRICIDAD,empleado de mostrador de oficina postal/empleada de mostrador de oficina postal,C4211,proactividad,nlp_extraction,http://data.europa.eu/esco/skill/c81c9ea3-4689-4146-9076-24dd175c69bc,realizar ventas activas,skill,,0,1,exact,v8.3_esco_familias_funcionales
23,2130257,EMPLEADA/O VENTA MOSTRADOR PARA CASA DE ELECTRICIDAD,empleado de mostrador de oficina postal/empleada de mostrador de oficina postal,C4211,venta,nlp_extraction,http://data.europa.eu/esco/skill/0c0488b3-fca5-4deb-865b-8dc605c3d909,técnicas de venta,skill,,0,1,exact,v8.3_esco_familias_funcionales
26,2131827,Operario de Producción de Alimentos,operario de procesamiento de productos lácteos/operaria de procesamiento de productos lácteos,C8160,operario de producción,nlp_extraction,http://data.europa.eu/esco/skill/c2241f73-9151-4817-96b2-b9a6aae4c9e9,llevar a cabo controles de equipos de plantas de producción,skill,,1,0,exact,v8.3_esco_familias_funcionales
27,2131827,Operario de Producción de Alimentos,operario de procesamiento de productos lácteos/operaria de procesamiento de productos lácteos,C8160,responsabilidad,nlp_extraction,http://data.europa.eu/esco/skill/aa238394-8126-4ada-be2f-9dfe065cf314,respetar las directrices de la organización,skill,,1,0,exact,v8.3_esco_familias_funcionales
25,2131827,Operario de Producción de Alimentos,operario de procesamiento de productos lácteos/operaria de procesamiento de productos lácteos,C8160,seguridad,nlp_extraction,http://data.europa.eu/esco/skill/b1e4b6b3-c32e-426f-91a1-41b8adac086c,asegurar la mercancía,skill,,1,0,exact,v8.3_esco_familias_funcionales
